64,0,0,0.002021138,0.002020827
128,0,0,0.008056466,0.008056175
256,0,0,0.023945775,0.023945568
512,0,0,0.093472848,0.09347261
1024,0,0,0.280426165,0.280426008
64,1,0,0.001918323,0.001918035
128,1,0,0.00812057,0.008120259
256,1,0,0.028715433,0.028715175
512,1,0,0.086369329,0.086369108
1024,1,0,0.273148024,0.273147828
64,3,0,0.00140021,0.001400068
128,3,0,0.004913207,0.004912888
256,3,0,0.010237097,0.01023679
512,3,0,0.04041341,0.04041306
1024,3,0,0.157052775,0.157052515
64,5,0,0.000815351,0.000815177
128,5,0,0.002643342,0.002643101
256,5,0,0.008349346,0.008349169
512,5,0,0.033073247,0.033073045
1024,5,0,0.111990501,0.111990297
64,7,0,0.000663535,0.000663286
128,7,0,0.002727182,0.002726988
256,7,0,0.005315954,0.005315712
512,7,0,0.020405894,0.020405724
1024,7,0,0.073950366,0.073950175
64,9,0,0.000691325,0.000691139
128,9,0,0.001716766,0.001716563
256,9,0,0.006326049,0.006325754
512,9,0,0.02200292,0.022002651
1024,9,0,0.07765724,0.077656912
64,11,0,0.000720097,0.000719859
128,11,0,0.001540636,0.001540419
256,11,0,0.005350005,0.005349747
512,11,0,0.020924868,0.020924642
1024,11,0,0.075588921,0.075588653
64,13,0,0.000584926,0.000584714
128,13,0,0.001460339,0.001460105
256,13,0,0.005725238,0.005725011
512,13,0,0.018004159,0.018003972
1024,13,0,0.057961935,0.057961694
64,15,0,0.000547291,0.000547019
128,15,0,0.001213332,0.001213109
256,15,0,0.004864686,0.004864484
512,15,0,0.018638645,0.018638394
1024,15,0,0.057668394,0.057668075
64,0,0,0.001208917,0.001208709
128,0,0,0.005120446,0.005120227
256,0,0,0.018900755,0.01890058
512,0,0,0.067204308,0.067204156
1024,0,0,0.262970014,0.262969854
64,1,0,0.001047975,0.001047789
128,1,0,0.00430494,0.004304788
256,1,0,0.017266625,0.017266469
512,1,0,0.066835065,0.066834906
1024,1,0,0.26340306,0.263402915
64,3,0,0.000676896,0.000676738
128,3,0,0.004516121,0.004515832
256,3,0,0.00828952,0.008289205
512,3,0,0.032093177,0.03209284
1024,3,0,0.16518603,0.165185771
64,5,0,0.000793483,0.000793309
128,5,0,0.002366336,0.002366186
256,5,0,0.011110139,0.01110982
512,5,0,0.037311354,0.037311023
1024,5,0,0.097248567,0.097248405
64,7,0,0.000626701,0.000626586
128,7,0,0.002405555,0.002405354
256,7,0,0.007595731,0.00759557
512,7,0,0.030977111,0.030976886
1024,7,0,0.092743834,0.092743628
64,9,0,0.000663383,0.000663195
128,9,0,0.001644909,0.001644667
256,9,0,0.005377498,0.005377288
512,9,0,0.021521526,0.021521196
1024,9,0,0.074779276,0.074778957
64,11,0,0.000532472,0.000532259
128,11,0,0.001482882,0.001482639
256,11,0,0.005274506,0.005274284
512,11,0,0.019136214,0.019136006
1024,11,0,0.060957777,0.060957568
64,13,0,0.00054805,0.000547833
128,13,0,0.001397932,0.001397709
256,13,0,0.005217076,0.005216871
512,13,0,0.019051281,0.019051038
